experiment,source,file_path,num_items,num_ambiguous_items,item_ambiguity_ratio,num_text_queries,num_ambiguous_text_queries,query_ambiguity_ratio,missing_file
RefAmb_original_InternVL3.5-8B,crag,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_InternVL3.5-8B/RefAmb_2026_05_09_17_28_refamb_crag_intervl3_5_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,818,400,0.488998,962,443,0.460499,0
RefAmb_original_InternVL3.5-8B,infoseek,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_InternVL3.5-8B/RefAmb_2026_05_09_16_13_refamb_infoseek_intervl3_5_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,176,160,0.909091,608,426,0.700658,0
RefAmb_original_InternVL3.5-8B,mcsearch,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_InternVL3.5-8B/RefAmb_2026_05_09_16_39_refamb_mcsearch_intervl3_5_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,300,29,0.096667,730,34,0.046575,0
RefAmb_original_InternVL3.5-8B,oven,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_InternVL3.5-8B/RefAmb_2026_05_09_15_53_refamb_oven_intervl3_5_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,206,108,0.524272,304,159,0.523026,0
RefAmb_original_Llava1.5-7B,crag,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Llava1.5-7B/RefAmb_2026_05_07_17_52_refamb_crag_llava15_7b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,818,10,0.012225,563,4,0.007105,0
RefAmb_original_Llava1.5-7B,infoseek,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Llava1.5-7B/RefAmb_2026_05_07_20_51_refamb_infoseek_llava15_7b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,176,2,0.011364,124,2,0.016129,0
RefAmb_original_Llava1.5-7B,mcsearch,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Llava1.5-7B/RefAmb_2026_05_07_20_59_refamb_mcsearch_llava15_7b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,300,2,0.006667,384,2,0.005208,0
RefAmb_original_Llava1.5-7B,oven,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Llava1.5-7B/RefAmb_2026_05_07_21_29_refamb_oven_llava15_7b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,206,0,0.000000,101,0,0.000000,0
RefAmb_original_Qwen2.5-vl-7B,crag,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen2.5-vl-7B/RefAmb_2026_05_02_14_22_refamb_crag_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,818,302,0.369193,2714,902,0.332351,0
RefAmb_original_Qwen2.5-vl-7B,infoseek,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen2.5-vl-7B/RefAmb_2026_05_02_13_50_refamb_infoseek_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,176,100,0.568182,617,351,0.568882,0
RefAmb_original_Qwen2.5-vl-7B,mcsearch,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen2.5-vl-7B/RefAmb_2026_05_01_11_26_refamb_mcsearch_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,300,16,0.053333,799,29,0.036295,0
RefAmb_original_Qwen2.5-vl-7B,oven,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen2.5-vl-7B/RefAmb_2026_05_01_13_28_refamb_oven_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,206,46,0.223301,303,130,0.429043,0
RefAmb_original_qwen3_vl_32b,crag,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_qwen3_vl_32b/RefAmb_2026_05_20_02_27_refamb_crag_qwen3_vl_32b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,818,63,0.077017,2180,85,0.038991,0
RefAmb_original_qwen3_vl_32b,infoseek,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_qwen3_vl_32b/RefAmb_2026_05_19_15_53_refamb_infoseek_qwen3_vl_32b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,176,22,0.125000,378,44,0.116402,0
RefAmb_original_qwen3_vl_32b,mcsearch,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_qwen3_vl_32b/RefAmb_2026_05_19_21_03_refamb_mcsearch_qwen3_vl_32b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,300,4,0.013333,810,6,0.007407,0
RefAmb_original_qwen3_vl_32b,oven,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_qwen3_vl_32b/RefAmb_2026_05_19_12_24_refamb_oven_qwen3_vl_32b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,206,14,0.067961,218,16,0.073394,0
RefAmb_original_Qwen3-vl-4B,crag,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-4B/RefAmb_2026_05_23_14_22_refamb_crag_qwen3_vl_4b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,818,176,0.215159,2583,432,0.167247,0
RefAmb_original_Qwen3-vl-4B,infoseek,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-4B/RefAmb_2026_05_23_12_21_refamb_infoseek_qwen3_vl_4b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,176,122,0.693182,660,311,0.471212,0
RefAmb_original_Qwen3-vl-4B,mcsearch,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-4B/RefAmb_2026_05_23_13_04_refamb_mcsearch_qwen3_vl_4b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,300,14,0.046667,911,16,0.017563,0
RefAmb_original_Qwen3-vl-4B,oven,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-4B/RefAmb_2026_05_23_11_46_refamb_oven_qwen3_vl_4b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,206,74,0.359223,370,130,0.351351,0
RefAmb_original_Qwen3-vl-8b,crag,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-8b/RefAmb_2026_05_23_14_07_refamb_crag_qwen3_vl_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,818,195,0.238386,2540,405,0.159449,0
RefAmb_original_Qwen3-vl-8b,infoseek,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-8b/RefAmb_2026_05_23_12_10_refamb_infoseek_qwen3_vl_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,176,107,0.607955,652,287,0.440184,0
RefAmb_original_Qwen3-vl-8b,mcsearch,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-8b/RefAmb_2026_05_23_12_53_refamb_mcsearch_qwen3_vl_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,300,13,0.043333,860,15,0.017442,0
RefAmb_original_Qwen3-vl-8b,oven,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-8b/RefAmb_2026_05_23_11_40_refamb_oven_qwen3_vl_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,206,64,0.310680,398,134,0.336683,0
scaling_qwen3_5_4b,crag,/home/you/FlashRAG/exps/idea10/data/result/scaling_qwen3_5/4b/crag/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,272,17,0.062500,555,20,0.036036,0
scaling_qwen3_5_4b,infoseek,/home/you/FlashRAG/exps/idea10/data/result/scaling_qwen3_5/4b/infoseek/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,54,5,0.092593,112,5,0.044643,0
scaling_qwen3_5_4b,mcsearch,/home/you/FlashRAG/exps/idea10/data/result/scaling_qwen3_5/4b/mcsearch/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,100,3,0.030000,218,3,0.013761,0
scaling_qwen3_5_4b,oven,/home/you/FlashRAG/exps/idea10/data/result/scaling_qwen3_5/4b/oven/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,148,21,0.141892,190,30,0.157895,0
scaling_qwen3_5_9b,crag,/home/you/FlashRAG/exps/idea10/data/result/scaling_qwen3_5/9b/crag/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,272,65,0.238971,594,89,0.149832,0
scaling_qwen3_5_9b,infoseek,/home/you/FlashRAG/exps/idea10/data/result/scaling_qwen3_5/9b/infoseek/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,54,18,0.333333,127,28,0.220472,0
scaling_qwen3_5_9b,mcsearch,/home/you/FlashRAG/exps/idea10/data/result/scaling_qwen3_5/9b/mcsearch/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,100,1,0.010000,204,1,0.004902,0
scaling_qwen3_5_9b,oven,/home/you/FlashRAG/exps/idea10/data/result/scaling_qwen3_5/9b/oven/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,74,26,0.351351,115,33,0.286957,0
scaling_qwen3_5_27b,crag,/home/you/FlashRAG/exps/idea10/data/result/scaling_qwen3_5/27b/crag/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,272,8,0.029412,722,12,0.016620,0
